created_at,job,price(usd),matched_keywords_job
2021-10-18 16:11:38,Revisar cilindro y cambiar estrella. Pasè presup. x w app,37.65,estrella
2021-10-22 13:32:47,Cambiar estrella cromada,0.0,estrella
2021-10-26 19:22:38,"Cambiar estrella y suplementar , solamente !!",14.02,estrella
2021-11-08 19:26:43,Colocar estrella med. plástica y ruedas,27.03,estrella
2021-11-08 20:43:38,"Chapòn basculante, cilindro y suplem. estrella",64.86,estrella
2021-11-09 18:09:54,Colocar estrella mediana y ruedas,27.7,estrella
2021-11-17 16:22:16,colocar estrella mediana y 1 rueda  ( $ 2400 + rueda),18.45,estrella
2021-11-17 20:40:03,"Retapizado completo en cuerotex negr, rellenar, estrella mediana con ruedas. Revisar inserto apoyabrazos. 10000 mas inserto",67.57,estrella
2021-11-26 20:49:32,estrella chica y ruedas usadas,0.0,estrella
2021-12-06 20:04:52,Colocar estrella plàstica,16.74,estrella
2021-12-10 16:39:03,Colocar estrella chica y cotizar: Parches en casco ò Retapizado de casco,14.04,estrella
2021-12-15 20:25:57,cambiar estrella mediana,0.0,estrella
2021-12-16 17:38:05,"1.- retapizar, contacto, tornillo, ruedas, cilindro.  2) estrella med., rellenar asiento, ruedas y 1 tornillo.",143.33,estrella
2021-12-22 20:20:22,Cambiar estrella,16.74,estrella
2022-01-08 16:50:06,"Colocar estrella cromada, cilindro y basculante",71.29,estrella
2022-01-11 18:04:27,Colocar estrella mediana,11.44,estrella
2022-01-21 17:23:26,cambiar estrella mediana,12.44,estrella
2022-01-28 15:20:30,Colocar estrella mediana y ruedas,22.97,estrella
2022-02-09 18:39:18,Colocar estrella cromada y nivelar,14.49,estrella
2022-02-12 15:18:39,Colocar estrella mediana,12.56,estrella
2022-02-15 15:52:07,Colocar estrella mediana de las nuevas y ruedas usadas / $ 2600.- ruedas $ 900,14.49,estrella
2022-02-23 20:47:36,estrella mediana,12.56,estrella
2022-03-04 15:09:34,Ruedas y estrella mediana,22.45,estrella
2022-03-08 16:54:30,Colocar estrella,13.27,estrella
2022-03-08 20:04:53,Cambiar estrella y ruedas,21.43,estrella
2022-03-22 18:52:33,Colocar estrella mediana,14.59,estrella
2022-03-28 17:19:47,Revisar estrella c/cilindro pasado. Presupuestar,6.63,estrella
2022-03-28 19:43:15,"Cilindr, suplem. c/grilòn y suplem. estrella.",28.06,estrella
2022-04-12 19:23:55,cambiar estrella y suplementar,17.81,estrella
2022-04-26 18:33:44,"Suplementar estrella, ajustar respaldo y chapòn c/arandelas",3.56,estrella
2022-04-28 17:51:41,Colocar estrella cromada,35.27,estrella
2022-05-02 17:17:18,"cilindro, estrella y 1 rueda /",47.61,estrella
2022-05-10 16:48:56,Colocar estrella chica màs 1 rueda ( $ 340.- ),14.63,estrella
2022-05-11 14:48:39,"colocar estrella mediana, 1 rueda y suplementar con arandelas.",19.1,estrella
2022-06-21 15:06:17,cambiar estrella,13.68,estrella
2022-07-08 17:36:21,Suplementar estrella,3.85,estrella
2022-07-20 17:07:50,cambiar estrella mediana,11.19,estrella
2022-07-25 16:54:37,Armar base completa c/chapòn cuadrado y estrella chica,41.78,estrella
2022-07-26 18:25:16,cambiar estrella mediana y 1 rueda us.,11.19,estrella
2022-08-01 17:20:19,Cambio de cilindro y estrella chica,32.63,estrella
2022-08-11 14:29:41,"Colocar estrella cromada, ruedas y pintar aro",37.89,estrella
2022-08-29 15:32:38,Colocar estrella/revisar. Pasar presupuesto,52.11,estrella
2022-09-09 19:19:53,Cambio de cilindro y estrella mediana,34.93,estrella
2022-09-21 14:18:33,Cambiar estrella,14.08,estrella
2022-09-29 17:48:11,cambiar estrella mediana,14.44,estrella
2022-10-03 15:42:48,Cambiar estrella y retapizado en Ecocuero negro,26.9,estrella
2022-10-06 17:18:58,cilindro y estrella,27.13,estrella
2022-10-11 15:07:19,"Cilindro, suplementar estrella y rellenar",28.36,estrella
2022-10-18 19:01:31,"Colocar base completa neumàtica, con estrella chica",40.94,estrella
2022-10-29 14:36:00,Cambiar estrella y 5 ruedas,19.01,estrella
2022-11-14 20:49:55,Cambiar estrella grande,22.01,estrella
2022-11-19 16:34:54,Cambiar estrella,20.53,estrella
2022-12-16 17:42:18,Colocar estrella mediana,23.19,estrella
2022-12-20 18:51:03,Ver estrella y presup,46.52,estrella
2022-12-22 18:40:16,Colocar estrella,3.38,estrella
2023-01-06 14:50:39,"estrella y ruedas, revisar",18.47,estrella
2023-01-13 14:48:24,"Cotizar retapizado en Talampaya Negro, estrella cromada grande y ruedas c/banda de siliconas Candy.",51.58,estrella
2023-01-13 20:00:23,cambio de estrella,13.72,estrella
2023-01-18 18:47:31,Cambiar estrella,12.66,estrella
2023-01-30 19:15:35,Revisar y presupuestar. cilindro y estrella,29.95,estrella
2023-02-09 18:17:17,Revisar estrella,13.67,estrella
2023-02-09 19:38:13,Cambiar estrella y ruedas,21.05,estrella
2023-02-13 20:37:01,"Cambiar estrella, la trajo",2.68,estrella
2023-02-23 18:05:52,Revisar estrella,9.65,estrella
2023-02-24 19:15:57,Cambiar estrella,12.87,estrella
2023-03-01 16:55:38,Cambiar estrella,12.37,estrella
2023-03-03 18:55:01,"Cambiar estrella, la trajo",14.18,estrella
2023-03-17 16:30:35,Cambiar estrella por cromada. Ruedas siliconadas,46.39,estrella
2023-04-28 13:24:13,estrella chica,11.47,estrella
2023-05-02 19:26:53,Colocar estrella cromada,28.66,estrella
2023-05-20 14:05:25,Cambiar estrella,12.06,estrella
2023-06-27 19:06:52,Cambiar estrella,14.72,estrella
2023-06-28 18:13:33,Cambiar estrella plàstica mediana,14.31,estrella
2023-09-04 15:53:14,Cambiar estrella,13.29,estrella
2023-09-06 15:56:37,Cambiar estrella,22.28,estrella
2023-09-15 18:08:05,estrella,13.92,estrella
2023-09-20 18:20:07,Cambiar estrella,15.19,estrella
2023-10-12 17:21:11,2 estrellas chicas y 1 rueda.,21.03,estrella
2023-10-18 13:57:09,Cambiar estrella y ruedas,27.79,estrella
2023-10-19 17:55:09,estrella mediana,13.74,estrella
2023-10-30 19:32:05,Cambiar estrella,11.59,estrella
2023-01-21 16:52:13,Cotizar retapizado en Jackson negro y mesh negro ( aprox. $ 10.000.-),25.33,mesh
2021-07-29 13:22:56,"Retapizar y rellenar (ver), arreglar respaldo y ruedas.",25.64,rellenar
2021-11-13 17:45:34,"Revisar y presupuestar: cilindro, chapòn, ruedas, rellenar asiento y respaldo, tornillo y suplem. apoyas",101.01,rellenar
2021-11-17 20:40:03,"Retapizado completo en cuerotex negr, rellenar, estrella mediana con ruedas. Revisar inserto apoyabrazos. 10000 mas inserto",67.57,rellenar
2021-12-16 17:38:05,"1.- retapizar, contacto, tornillo, ruedas, cilindro.  2) estrella med., rellenar asiento, ruedas y 1 tornillo.",143.33,rellenar
2021-12-29 16:07:54,Retapizar en Ecocuero negro 7 rellenar asiento y poca costura,46.1,rellenar
2022-01-05 16:24:05,"1) Cilindro, ruedas, retap. y rellenar asiento y 1 inserto 2) Cambiar estructura, ruedas, rellenar completo y cilindro",83.97,rellenar
2022-01-05 16:24:05,"1) Cilindro, ruedas, retap. y rellenar asiento y 1 inserto 2) Cambiar estructura, ruedas, rellenar completo y cilindro",83.97,rellenar
2022-01-06 14:49:54,"Interno madera c/insertos, tapizar y rellenar asiento, ruedas, cilindro y contacto.",64.35,rellenar
2022-01-14 19:37:19,"Chapòn, ruedas, tapizar y rellenar asiento, retocar aro.",34.35,rellenar
2022-02-11 18:36:40,"Teñir sillòn grande y rellenar asiento, cilindro y suplementar $ 3300.-  / $ 4100.- / $ 700.-  Total $ 8100.-",39.13,rellenar
2022-03-26 13:17:31,"Hacer madera interno, retapizar y rellenar  asiento en talampaya negro",17.86,rellenar
2022-04-08 16:13:35,Cilindro y rellenar asiento,38.17,rellenar
2022-04-20 18:39:52,"Cilindro, rellenar asiento y parches, fuelle telescòpico, 1 rueda",27.99,rellenar
2022-05-04 18:18:45,Cambio de cilindro y rellenar asiento,34.83,rellenar
2022-05-06 19:32:49,"Cilindro, rellenar asiento, enderezar estructura, perilla cilindro.",36.07,rellenar
2022-05-11 19:23:37,Cmabiar rueditas rotas y tapizar y rellenar asiento/ parche respaldo,22.39,rellenar
2022-06-13 13:16:35,Retapizar completo Y rellenar asiento,22.65,rellenar
2022-07-15 15:22:40,"Ajustar apoyas, rellenar asiento,cotizar tapizado completo y revisar.",31.64,rellenar
2022-10-11 15:07:19,"Cilindro, suplementar estrella y rellenar",28.36,rellenar
2023-01-04 19:44:09,Retapizar y rellenar. ecocuero tiza,34.3,rellenar
2023-02-16 18:50:00,rellenar y tapizar. ecocuero negro,8.85,rellenar
2023-03-14 14:59:19,"Interno (10 insertos), retapizar y rellenar asiento",38.02,rellenar
2023-04-04 15:08:32,"Interno de madera nuestro, 4 insertos, rellenar y retapizar asiento",34.85,rellenar
2023-05-12 16:21:55,"Cilindro, retapizado comp. y rellenar asiento",53.2,rellenar
2023-06-21 18:24:11,Revisar y presupuestar ( rellenar ),11.66,rellenar
2021-06-25 19:49:21,"Ruedas, retapizar asiento y funda en parte superior de respaldo, 1 apoyabrazos usado.",32.82,retapizar
2021-07-23 16:20:35,"Revisar . Ver estrella, ruedas. retapizar (pasan el color de ecocuero). Pasar presupuesto",42.74,retapizar
2021-07-30 18:52:07,cambiar chapòn con U $ 2500.- y retapizar en Talampaya 379 ò 454 ( trae 4 sillas màs para retapizar) $ 3600.- c/retapizado,34.76,retapizar
2021-07-30 18:52:07,cambiar chapòn con U $ 2500.- y retapizar en Talampaya 379 ò 454 ( trae 4 sillas màs para retapizar) $ 3600.- c/retapizado,34.76,retapizar
2021-08-12 18:44:29,retapizar,10.76,retapizar
2021-09-01 15:28:18,"Cilindro, suplem. , apoyabrazos y retapizar asiento",32.42,retapizar
2021-12-16 17:38:05,"1.- retapizar, contacto, tornillo, ruedas, cilindro.  2) estrella med., rellenar asiento, ruedas y 1 tornillo.",143.33,retapizar
2022-01-25 20:30:15,cilindro y retapizar asiento,30.14,retapizar
2022-02-18 14:36:05,retapizar y relleno. cambiar regatones . retocar estructura,24.15,retapizar
2022-03-26 13:17:31,"Hacer madera interno, retapizar y rellenar  asiento en talampaya negro",17.86,retapizar
2022-04-28 16:22:46,Rellenar y retapizar comp. ruedas y chapòn,48.35,retapizar
2022-11-23 17:01:11,retapizar en tela gris 6260.-y arreglar respaldo (ver precio). Jackson 10 o similar. Tela,29.95,retapizar
2023-03-14 14:59:19,"Interno (10 insertos), retapizar y rellenar asiento",38.02,retapizar
2023-04-04 15:08:32,"Interno de madera nuestro, 4 insertos, rellenar y retapizar asiento",34.85,retapizar
2023-04-26 14:44:03,Revisar y presupuestar. retapizar,87.23,retapizar
2023-05-16 15:00:54,"Rellenar, retapizar asiento. Ruedas alma.",28.25,retapizar
2023-07-13 13:34:43,retapizar completo y revisar,38.53,retapizar
2023-07-13 19:46:30,"Ruedas Alma, retapizar asiento y pintar aro",35.6,retapizar
2023-10-21 15:49:00,"Cambiar cilindro, ver apoyabrazos y retapizar asiento en Eco negro",40.0,retapizar
2021-06-17 17:14:28,"Retapizar asiento,ruedas, chapòn, colocar arandelas y cilindro",51.84,ruedas
2021-06-22 17:14:19,"Cilindro, ruedas y repar. en inserto apoyabrazos.",28.53,ruedas
2021-07-01 15:52:10,"1 - Cilindro y ruedas  2- basculante, cilindro y ruedas",77.89,ruedas
2021-07-01 15:52:10,"1 - Cilindro y ruedas  2- basculante, cilindro y ruedas",77.89,ruedas
2021-07-02 14:29:00,"1- Cilindro, basculante y ruedas   2.- Cilindro, basculante y Ruedas   ..... Revisar por si hay algo mas",106.21,ruedas
2021-07-10 15:20:24,"Retapizar asiento, ruedas y tornillos",17.09,ruedas
2021-07-13 19:03:59,Estrella grande araña y ruedas,19.37,ruedas
2021-07-23 16:20:35,"Revisar . Ver estrella, ruedas. retapizar (pasan el color de ecocuero). Pasar presupuesto",42.74,ruedas
2021-07-29 13:22:56,"Retapizar y rellenar (ver), arreglar respaldo y ruedas.",25.64,ruedas
2021-07-29 14:47:41,Cortar y sodar chapon nuevo. Ver ruedas,18.23,ruedas
2021-07-29 19:48:30,revisar ruedas y cotizar retapizado asientos,59.26,ruedas
2021-08-05 15:13:01,Cilindro y ruedas,27.03,ruedas
2021-08-07 15:30:55,"Revisar y cotizar cilindro, ruedas Portantino",57.22,ruedas
2021-08-17 15:11:47,"cilindro, ruedas y retapizado",47.42,ruedas
2021-08-18 20:01:25,"Retapizado completo, 1 cilindro, 5 ruedas y tornillos.",70.25,ruedas
2021-08-30 15:12:56,"Poner botones en asiento, 5 ruedas, cilindro.",32.29,ruedas
2021-09-01 15:49:02,"1) Retapizado completo, cilindro y ruedas  2) Retapizado completo, càscara respaldo y 1 tornillo.",70.33,ruedas
2021-09-20 18:05:39,"Rellenar asiento, ruedas y soldar pieza respaldo",23.9,ruedas
2021-09-25 14:36:04,Cambio de ruedas,8.24,ruedas
2021-10-14 17:11:14,"Revisar y presupuestar: Retapizado completo, interno asiento, cilindro, retocar aro, ruedas y 2 tornillos.",53.68,ruedas
2021-10-28 18:16:49,"Rellenar asiento, cilindro y ruedas",36.03,ruedas
2021-11-06 15:29:36,Cambiar cilindro y ruedas,36.15,ruedas
2021-11-08 19:26:43,Colocar estrella med. plástica y ruedas,27.03,ruedas
2021-11-09 18:09:54,Colocar estrella mediana y ruedas,27.7,ruedas
2021-11-09 20:51:03,Hacer asiento y ruedas,31.42,ruedas
2021-11-13 17:45:34,"Revisar y presupuestar: cilindro, chapòn, ruedas, rellenar asiento y respaldo, tornillo y suplem. apoyas",101.01,ruedas
2021-11-17 20:40:03,"Retapizado completo en cuerotex negr, rellenar, estrella mediana con ruedas. Revisar inserto apoyabrazos. 10000 mas inserto",67.57,ruedas
2021-11-24 17:42:46,"Cilindro, ruedas y chapon basculante",73.65,ruedas
2021-11-26 20:49:32,estrella chica y ruedas usadas,0.0,ruedas
2021-12-16 17:38:05,"1.- retapizar, contacto, tornillo, ruedas, cilindro.  2) estrella med., rellenar asiento, ruedas y 1 tornillo.",143.33,ruedas
2021-12-16 17:38:05,"1.- retapizar, contacto, tornillo, ruedas, cilindro.  2) estrella med., rellenar asiento, ruedas y 1 tornillo.",143.33,ruedas
2022-01-05 16:24:05,"1) Cilindro, ruedas, retap. y rellenar asiento y 1 inserto 2) Cambiar estructura, ruedas, rellenar completo y cilindro",83.97,ruedas
2022-01-05 16:24:05,"1) Cilindro, ruedas, retap. y rellenar asiento y 1 inserto 2) Cambiar estructura, ruedas, rellenar completo y cilindro",83.97,ruedas
2022-01-06 14:49:54,"Interno madera c/insertos, tapizar y rellenar asiento, ruedas, cilindro y contacto.",64.35,ruedas
2022-01-14 19:37:19,"Chapòn, ruedas, tapizar y rellenar asiento, retocar aro.",34.35,ruedas
2022-01-21 18:18:06,"Revisar y presupuestar: chapòn, cilindro, ruedas, enderezar aro, interno asiento de madera, retapizado asiento c/relleno.",67.94,ruedas
2022-01-28 15:20:30,Colocar estrella mediana y ruedas,22.97,ruedas
2022-02-04 16:46:25,"Revisar cilindro, ruedas y retapizado de asiento y respaldo",49.76,ruedas
2022-02-04 18:40:18,Cambiar ruedas,8.7,ruedas
2022-02-10 18:51:15,Estrella y ruedas,14.49,ruedas
2022-02-15 15:52:07,Colocar estrella mediana de las nuevas y ruedas usadas / $ 2600.- ruedas $ 900,14.49,ruedas
2022-02-15 15:52:07,Colocar estrella mediana de las nuevas y ruedas usadas / $ 2600.- ruedas $ 900,14.49,ruedas
2022-02-18 20:47:28,Revisar y presupuestar. Incluido el tapizado y relleno. Tiene las ruedas. Tapizado ecocuero 6168/6179.,33.82,ruedas
2022-03-03 15:51:45,Cambiar cilindro y ( ruedas ),0.0,ruedas
2022-03-08 20:04:53,Cambiar estrella y ruedas,21.43,ruedas
2022-03-11 17:28:50,Cilindro y 5 ruedas,31.63,ruedas
2022-03-22 16:14:11,"Revisar y arreglar, limpiar ruedas...",49.49,ruedas
2022-03-23 16:30:24,Chapòn y ruedas usadas,19.13,ruedas
2022-04-28 16:22:46,Rellenar y retapizar comp. ruedas y chapòn,48.35,ruedas
2022-05-03 13:40:28,"Retapizado completo, limpiar apòyabrazos y lubricar eje y ruedas",35.32,ruedas
2022-05-19 19:11:59,Cambiar basculante y ruedas,36.67,ruedas
2022-05-23 18:06:35,Cambiar ruedas y cilindro a base cromada nueva,33.83,ruedas
2022-05-31 18:55:14,"Cambiar cilindros, tapizado de 2 asientos, ruedas y revisar",159.95,ruedas
2022-06-22 18:38:16,Estrella grande y ruedas,21.79,ruedas
2022-08-02 14:48:57,Cambio de cilindro y ruedas,0.0,ruedas
2022-08-11 14:29:41,"Colocar estrella cromada, ruedas y pintar aro",37.89,ruedas
2022-08-17 18:38:51,"Revisar y presupuestar, ver faja en casco y ruedas",20.35,ruedas
2022-08-27 16:43:15,Revisar y presupuestar / cotizar retap. de asiento en Talampaya negro/ relleno en ALTA DENSIDAD de 50 mm. de espesor y ruedas,24.39,ruedas
2022-09-10 15:46:31,Cambio de cilindro y ruedas,27.82,ruedas
2022-09-23 18:17:21,Colocar 5 ruedas Alma,11.44,ruedas
2022-10-11 16:47:00,"Rellenar y retap. asiento, pintada al aro, cilindro y 2 ruedas",31.58,ruedas
2022-10-29 14:36:00,Cambiar estrella y 5 ruedas,19.01,ruedas
2022-11-15 16:24:44,Estrella chica y ruedas,28.71,ruedas
2023-01-03 19:31:30,"Chapón, cilindro, contacto y 2 ruedas",53.19,ruedas
2023-01-06 14:50:39,"estrella y ruedas, revisar",18.47,ruedas
2023-01-10 17:04:27,Cambiar 5 ruedas y reparar apoyabrazos ( tornillos cortados ),13.85,ruedas
2023-01-13 14:48:24,"Cotizar retapizado en Talampaya Negro, estrella cromada grande y ruedas c/banda de siliconas Candy.",51.58,ruedas
2023-01-14 15:25:09,Retapizar asiento ( 3500.-) y ruedas c/rosca.,20.84,ruedas
2023-01-20 15:10:21,"Rellenar asiento, 5 ruedas, fijar respaldo c/bulòn y tuerca.",0.0,ruedas
2023-01-20 20:41:29,"Estrella cromada, cilindro y ruedas",50.53,ruedas
2023-02-07 20:24:40,Cambiar ruedas,7.37,ruedas
2023-02-09 19:38:13,Cambiar estrella y ruedas,21.05,ruedas
2023-02-27 15:32:31,Cambiar chapòn y ver ruedas/,25.34,ruedas
2023-03-01 15:00:18,"revisar y presupuestar / base completa y 4 insertos , menos 2 ruedas",74.18,ruedas
2023-03-07 20:35:36,Revisar tope ruedas,1.29,ruedas
2023-03-15 15:46:50,Tapizar y armar. Y aro y ruedas de alma,41.49,ruedas
2023-03-17 18:41:44,Ajustar ruedas,0.0,ruedas
2023-04-01 15:52:14,5 ruedas nuevas,9.52,ruedas
2023-05-16 18:47:38,Cambiar cilindro y ruedas,0.0,ruedas
2023-06-06 19:33:34,Armar y colocar ruedas que trajo,0.0,ruedas
2023-07-01 13:54:39,ver ruedas y chapòn,22.68,ruedas
2023-07-05 19:37:35,Reparar respaldo y cambiar ruedas,18.35,ruedas
2023-07-27 19:05:39,Cambiar cilindro en los 3 y ruedas en verdes ( nuevas ò usadas ),0.0,ruedas
2023-07-28 14:50:02,aro nuevo. ruedas alma. soldar T de contacto,43.12,ruedas
2023-09-12 19:36:53,Revisar y presupuestar. Tapizado en ecocuero negro y ruedas,40.51,ruedas
2023-09-15 16:14:47,ruedas y basculante (se baja cuando bascula),33.67,ruedas
2023-09-22 15:29:54,Se presupuestò retapizado y almohadòn en alta densidad ( $ 40.400.- ). Ver  ruedas.,54.94,ruedas
2023-09-28 14:28:54,cambio ruedas,10.13,ruedas
2023-10-10 16:45:42,"Cilindro, perilla ovalina, ruedas y retapizado",55.38,ruedas
2023-10-18 13:57:09,Cambiar estrella y ruedas,27.79,ruedas
2023-11-02 16:33:01,Cambiar ruedas y ajustar,23.75,ruedas
2021-07-30 18:52:07,cambiar chapòn con U $ 2500.- y retapizar en Talampaya 379 ò 454 ( trae 4 sillas màs para retapizar) $ 3600.- c/retapizado,34.76,silla
2022-04-20 18:09:09,"Silla cromada, no tiene arreglo, silla Candy : fabricar interno $ 3800.- y cilindro $ 4700.- ( si se utiliza el cilindro de la otra, se ahorra èste importe)",21.37,silla
2021-07-08 16:35:34,"1) cilindro y soldar 2) cilindro 3) cilindro, soldar y tornillo",62.68,soldar
2021-07-08 16:35:34,"1) cilindro y soldar 2) cilindro 3) cilindro, soldar y tornillo",62.68,soldar
2021-07-28 18:22:33,cortar y soldar chapòn,18.23,soldar
2021-09-20 18:05:39,"Rellenar asiento, ruedas y soldar pieza respaldo",23.9,soldar
2021-10-25 17:19:43,"Soldar chapòn, abrir respaldo y soldar cañito c/tuerca, 2 bulones",28.43,soldar
2022-01-26 17:42:51,Revisar cilindro y chapòn (soldar),31.58,soldar
2022-03-09 16:00:03,soldar,12.76,soldar
2022-05-10 14:17:37,soldar base,11.94,soldar
2022-06-21 15:08:46,Cambio de cilindro y soldar chapòn,24.36,soldar
2023-06-15 15:04:50,Cortar y soldar chapòn nuevo,15.54,soldar
2023-07-28 14:50:02,aro nuevo. ruedas alma. soldar T de contacto,43.12,soldar
2023-09-07 15:39:38,"Colocar apoyabrazos, soldar costado y rearmar",7.59,soldar
